x,CDF(x)
-3.9656,3.66057749799473e-05
-3.9655,3.66211261782553e-05
-3.9654,3.66364834652881e-05
-3.9653,3.66518468433071e-05
-3.9652,3.66672163145743e-05
-3.9651,3.66825918813528e-05
-3.965,3.6697973545906e-05
-3.9649,3.67133613104985e-05
-3.9648,3.67287551773954e-05
-3.9647,3.67441551488627e-05
-3.9646,3.67595612271672e-05
-3.9645,3.67749734145766e-05
-3.9644,3.67903917133588e-05
-3.9643,3.68058161257833e-05
-3.9642,3.68212466541197e-05
-3.9641,3.68366833006388e-05
-3.964,3.68521260676119e-05
-3.9639,3.68675749573113e-05
-3.9638,3.688302997201e-05
-3.9637,3.68984911139817e-05
-3.9636,3.69139583855009e-05
-3.9635,3.6929431788843e-05
-3.9634,3.6944911326284e-05
-3.9633,3.69603970001008e-05
-3.9632,3.69758888125713e-05
-3.9631,3.69913867659734e-05
-3.963,3.70068908625869e-05
-3.9629,3.70224011046914e-05
-3.9628,3.70379174945678e-05
-3.9627,3.70534400344977e-05
-3.9626,3.70689687267634e-05
-3.9625,3.7084503573648e-05
-3.9624,3.71000445774355e-05
-3.9623,3.71155917404104e-05
-3.9622,3.71311450648584e-05
-3.9621,3.71467045530656e-05
-3.962,3.7162270207319e-05
-3.9619,3.71778420299065e-05
-3.9618,3.71934200231167e-05
-3.9617,3.7209004189239e-05
-3.9616,3.72245945305635e-05
-3.9615,3.72401910493811e-05
-3.9614,3.72557937479837e-05
-3.9613,3.72714026286636e-05
-3.9612,3.72870176937143e-05
-3.9611,3.73026389454299e-05
-3.961,3.7318266386105e-05
-3.9609,3.73339000180356e-05
-3.9608,3.73495398435179e-05
-3.9607,3.73651858648492e-05
-3.9606,3.73808380843276e-05
-3.9605,3.73964965042518e-05
-3.9604,3.74121611269214e-05
-3.9603,3.74278319546369e-05
-3.9602,3.74435089896992e-05
-3.9601,3.74591922344106e-05
-3.96,3.74748816910735e-05
-3.9599,3.74905773619916e-05
-3.9598,3.75062792494692e-05
-3.9597,3.75219873558114e-05
-3.9596,3.75377016833241e-05
-3.9595,3.7553422234314e-05
-3.9594,3.75691490110885e-05
-3.9593,3.75848820159558e-05
-3.9592,3.76006212512251e-05
-3.9591,3.76163667192061e-05
-3.959,3.76321184222097e-05
-3.9589,3.76478763625468e-05
-3.9588,3.76636405425302e-05
-3.9587,3.76794109644725e-05
-3.9586,3.76951876306876e-05
-3.9585,3.77109705434901e-05
-3.9584,3.77267597051953e-05
-3.9583,3.77425551181195e-05
-3.9582,3.77583567845797e-05
-3.9581,3.77741647068932e-05
-3.958,3.77899788873792e-05
-3.9579,3.78057993283565e-05
-3.9578,3.78216260321455e-05
-3.9577,3.7837459001067e-05
-3.9576,3.78532982374428e-05
-3.9575,3.78691437435954e-05
-3.9574,3.7884995521848e-05
-3.9573,3.79008535745248e-05
-3.9572,3.79167179039506e-05
-3.9571,3.79325885124512e-05
-3.957,3.79484654023529e-05
-3.9569,3.79643485759832e-05
-3.9568,3.79802380356699e-05
-3.9567,3.79961337837422e-05
-3.9566,3.80120358225295e-05
-3.9565,3.80279441543623e-05
-3.9564,3.80438587815719e-05
-3.9563,3.80597797064903e-05
-3.9562,3.80757069314505e-05
-3.9561,3.8091640458786e-05
-3.956,3.81075802908311e-05
-3.9559,3.81235264299214e-05
-3.9558,3.81394788783926e-05
-3.9557,3.81554376385817e-05
-3.9556,3.81714027128265e-05
-3.9555,3.81873741034649e-05
-3.9554,3.82033518128368e-05
-3.9553,3.82193358432817e-05
-3.9552,3.82353261971406e-05
-3.9551,3.82513228767552e-05
-3.955,3.82673258844679e-05
-3.9549,3.82833352226219e-05
-3.9548,3.82993508935613e-05
-3.9547,3.83153728996307e-05
-3.9546,3.83314012431761e-05
-3.9545,3.83474359265436e-05
-3.9544,3.83634769520805e-05
-3.9543,3.8379524322135e-05
-3.9542,3.83955780390557e-05
-3.9541,3.84116381051925e-05
-3.954,3.84277045228957e-05
-3.9539,3.84437772945163e-05
-3.9538,3.84598564224069e-05
-3.9537,3.84759419089199e-05
-3.9536,3.84920337564091e-05
-3.9535,3.8508131967229e-05
-3.9534,3.85242365437346e-05
-3.9533,3.85403474882823e-05
-3.9532,3.85564648032288e-05
-3.9531,3.85725884909318e-05
-3.953,3.85887185537498e-05
-3.9529,3.8604854994042e-05
-3.9528,3.86209978141685e-05
-3.9527,3.86371470164904e-05
-3.9526,3.8653302603369e-05
-3.9525,3.86694645771672e-05
-3.9524,3.86856329402481e-05
-3.9523,3.87018076949758e-05
-3.9522,3.87179888437153e-05
-3.9521,3.87341763888323e-05
-3.952,3.87503703326933e-05
-3.9519,3.87665706776658e-05
-3.9518,3.87827774261177e-05
-3.9517,3.87989905804182e-05
-3.9516,3.8815210142937e-05
-3.9515,3.88314361160445e-05
-3.9514,3.88476685021124e-05
-3.9513,3.88639073035125e-05
-3.9512,3.88801525226182e-05
-3.9511,3.88964041618031e-05
-3.951,3.89126622234418e-05
-3.9509,3.89289267099098e-05
-3.9508,3.89451976235833e-05
-3.9507,3.89614749668395e-05
-3.9506,3.89777587420561e-05
-3.9505,3.89940489516117e-05
-3.9504,3.90103455978861e-05
-3.9503,3.90266486832593e-05
-3.9502,3.90429582101126e-05
-3.9501,3.90592741808277e-05
-3.95,3.90755965977876e-05
-3.9499,3.90919254633756e-05
-3.9498,3.91082607799763e-05
-3.9497,3.91246025499746e-05
-3.9496,3.91409507757568e-05
-3.9495,3.91573054597094e-05
-3.9494,3.91736666042201e-05
-3.9493,3.91900342116775e-05
-3.9492,3.92064082844705e-05
-3.9491,3.92227888249896e-05
-3.949,3.92391758356253e-05
-3.9489,3.92555693187694e-05
-3.9488,3.92719692768144e-05
-3.9487,3.92883757121536e-05
-3.9486,3.93047886271812e-05
-3.9485,3.93212080242921e-05
-3.9484,3.9337633905882e-05
-3.9483,3.93540662743476e-05
-3.9482,3.93705051320862e-05
-3.9481,3.93869504814961e-05
-3.948,3.94034023249762e-05
-3.9479,3.94198606649264e-05
-3.9478,3.94363255037474e-05
